alphas1_c,alphas2_c,alpha_c,anisotropy_c,c11_c,c13_phase_c,c22_c,c33_c,entropy_c,l1_c,l2_c,l3_c,phis1_c,phis2_c,ro12_amplitude_c,span_c,taum1_c,taum2_c,taum3_c,yamaguchi4_dbl_c,yamaguchi4_hlx_c,yamaguchi4_odd_c,yamaguchi4_vol_c,Class
46.975,51.3484,49.7944,0.3425,0.1634,74.2914,0.0457,0.0099,0.6042,0.1956,0.0367,0.018,1.6191,34.8536,0.7711,0.219,-3.2322,16.7411,-18.3828,0.1269,0.012,0,0.1115,Flax
49.2502,46.2181,51.2856,0.235,0.2629,-159.1455,0.0333,0.0295,0.5631,0.1927,0.0284,0.0176,1.8858,44.6179,0.7934,0.3258,-4.1882,20.4855,-20.311,0.145,0.0245,0.0018,0.0673,Flax
48.794,47.9496,50.506,0.2835,0.1668,146.3099,0.0228,0.0249,0.5383,0.2017,0.0286,0.016,5.4853,26.979,0.7986,0.2146,-3.2536,14.6455,-18.879,0.1525,0.0146,0.0026,0.0766,Flax
45.3912,49.402,48.0205,0.2995,0.1822,95.5275,0.0418,0.0289,0.5815,0.1768,0.0295,0.0159,9.9867,5.6655,0.7549,0.253,-1.4758,9.8197,-15.4232,0.1242,0.0018,0.0086,0.0877,Flax
44.9975,48.4042,47.8758,0.3574,0.1047,62.354,0.0136,0.0382,0.6147,0.1871,0.037,0.0175,7.641,-0.1505,0.7056,0.1565,-2.2539,4.6591,-12.366,0.1287,0.0119,0.0212,0.0798,Flax
43.9921,58.9216,48.5363,0.3199,0.3382,170.9097,0.0392,0.0212,0.538,0.2622,0.0385,0.0198,-5.0182,35.2628,0.8137,0.3986,-7.8024,3.9434,-11.748,0.1994,0,0.0156,0.0833,Flax
5.4542,40.897,24.7886,0.1368,0.6835,1.9415,0.149,0.8131,0.6463,1.1594,0.2049,0.1556,57.3462,-32.5431,0.1922,1.6457,0.8809,-41.4538,43.4564,0.0157,0.1076,0.9214,0.4752,Potatos
3.4227,87.0964,22.0795,0.1801,0.8255,8.8721,0.0891,0.8255,0.6164,1.0505,0.1756,0.122,35.6789,-48.6175,0.1235,1.7402,0.5034,-7.663,7.5947,0.0359,0.0022,0.791,0.519,Potatos
2.7757,28.9258,22.0678,0.2466,0.4757,9.6375,0.1643,0.4584,0.6195,1.0267,0.1849,0.1117,69.7007,22.1942,0.1032,1.0984,0.6819,-43.538,43.9966,0.0373,0.0613,0.8282,0.3965,Potatos
2.1658,36.9513,27.3435,0.2116,0.6261,18.7586,0.3415,0.6387,0.697,1.0888,0.245,0.1594,56.3839,-9.7766,0.1141,1.6063,2.51,-42.8268,-41.674,0.0135,0.2566,0.9446,0.2784,Potatos
